Entity_ID:ID,Entity_Name,:Label,CreateTimeStamp,EFFDT,TERMDT,HashKey,Version,Status,Entity_Type,Entity_Parent_Name,Entity_Parent_Type,coordinate,Snipets
35SNICA0NCUKQ9RTFO6RBMVHRL,*,Column,20230801172336,20230801172336,99991231000000,35SNICA0NCUKQ9RTFO6RBMVHRL,1,I,Column,CTE-ORDERS-1,With_cte,`[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.fct_orders`
13OTF7VUT2CB0V0C89A0U92AMT,AMOUNT,Column,20230801172336,20230801172336,99991231000000,13OTF7VUT2CB0V0C89A0U92AMT,1,I,Column,CTE-ORDERS-1,With_cte,`[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.fct_orders`
40DMG0K1Q3D358M7U2AM3H8DJC,CUSTOMER_ID,Column,20230801172336,20230801172336,99991231000000,40DMG0K1Q3D358M7U2AM3H8DJC,1,I,Column,CTE-ORDERS-1,With_cte,`[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.fct_orders`
3J6QBS1N2TA4EDLPTG59PKNFAN,ORDER_DATE,Column,20230801172336,20230801172336,99991231000000,3J6QBS1N2TA4EDLPTG59PKNFAN,1,I,Column,CTE-ORDERS-1,With_cte,`[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.fct_orders`
71NLVB2O5VDNTQU67HR3D7AGO2,ORDER_ID,Column,20230801172336,20230801172336,99991231000000,71NLVB2O5VDNTQU67HR3D7AGO2,1,I,Column,CTE-ORDERS-1,With_cte,`[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.fct_orders`
3DB32S22717BNASV8MQEL7JNSE,RelationRows,Column,20230801172336,20230801172336,99991231000000,3DB32S22717BNASV8MQEL7JNSE,1,I,Column,CTE-ORDERS-1,With_cte,`[{"hashCode":"0","x":16,"y":10},{"hashCode":"0","x":16,"y":16}]`,`    from orders`
4NNFSUNSI94T7ETIKKR0FFCPKN,*,Column,20230801172336,20230801172336,99991231000000,4NNFSUNSI94T7ETIKKR0FFCPKN,1,I,Column,RS-1,Select_list,`[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.stg_customers`
1EPKUSPMRRBJJEJ87P8ET83HPT,FIRST_NAME,Column,20230801172336,20230801172336,99991231000000,1EPKUSPMRRBJJEJ87P8ET83HPT,1,I,Column,RS-1,Select_list,`[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.stg_customers`
6M16DAU5149QM8HS2TR9QVEN7I,LAST_NAME,Column,20230801172336,20230801172336,99991231000000,6M16DAU5149QM8HS2TR9QVEN7I,1,I,Column,RS-1,Select_list,`[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}]`,`    select * from analytics.DBT_GGITHIRI.stg_customers`
65HQUN3LPK36F5TFS1OD9AC4M2,customer_id,Column,20230801172336,20230801172336,99991231000000,65HQUN3LPK36F5TFS1OD9AC4M2,1,I,Column,RS-1,Select_list,`[{"hashCode":"0","x":22,"y":9},{"hashCode":"0","x":22,"y":30}]`,`        customers.customer_id,`
