Entity_ID:ID,Entity_Name,:Label,CreateTimeStamp,EFFDT,TERMDT,HashKey,Version,Status,name,resource_type,unique_id,package_name,root_path,path,original_file_path,description,meta,docs,patch_path,created_at
`4F47ICV2A920U4DOA60ACGMDFM`,`set_query_tag`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`4F47ICV2A920U4DOA60ACGMDFM`,`1`,`I`,`set_query_tag`,`macro`,`macro.dbt_snowflake.set_query_tag`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`56ARE8O0945IS5PA50KL9PJQOQ`,`unset_query_tag`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`56ARE8O0945IS5PA50KL9PJQOQ`,`1`,`I`,`unset_query_tag`,`macro`,`macro.dbt_snowflake.unset_query_tag`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`4LECRG0J6NSES5087M5L5IK6TQ`,`snowflake__alter_relation_add_remove_columns`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`4LECRG0J6NSES5087M5L5IK6TQ`,`1`,`I`,`snowflake__alter_relation_add_remove_columns`,`macro`,`macro.dbt_snowflake.snowflake__alter_relation_add_remove_columns`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`6O9MVE3N9K94JI17R9M6B58C2K`,`snowflake_dml_explicit_transaction`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`6O9MVE3N9K94JI17R9M6B58C2K`,`1`,`I`,`snowflake_dml_explicit_transaction`,`macro`,`macro.dbt_snowflake.snowflake_dml_explicit_transaction`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`53EUNNRKNCPURIVNK0UVE3QF1A`,`snowflake__truncate_relation`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`53EUNNRKNCPURIVNK0UVE3QF1A`,`1`,`I`,`snowflake__truncate_relation`,`macro`,`macro.dbt_snowflake.snowflake__truncate_relation`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\adapters.sql`,`macros\\adapters.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.4886062`
`5J1FA45VGBN4JJ2D0LTHFBKMGO`,`snowflake__get_catalog`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`5J1FA45VGBN4JJ2D0LTHFBKMGO`,`1`,`I`,`snowflake__get_catalog`,`macro`,`macro.dbt_snowflake.snowflake__get_catalog`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\catalog.sql`,`macros\\catalog.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5052454`
`73DODET1E66JCUDQI1M555I3F`,`dbt_snowflake_validate_get_incremental_strategy`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`73DODET1E66JCUDQI1M555I3F`,`1`,`I`,`dbt_snowflake_validate_get_incremental_strategy`,`macro`,`macro.dbt_snowflake.dbt_snowflake_validate_get_incremental_strategy`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\materializations\\incremental.sql`,`macros\\materializations\\incremental.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5052454`
`66M3H8R6ROLV4ILJ78772RRO62`,`dbt_snowflake_get_incremental_sql`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`66M3H8R6ROLV4ILJ78772RRO62`,`1`,`I`,`dbt_snowflake_get_incremental_sql`,`macro`,`macro.dbt_snowflake.dbt_snowflake_get_incremental_sql`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\materializations\\incremental.sql`,`macros\\materializations\\incremental.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5052454`
`1BHSIUTHJCJOD63VLNAKLJG8AH`,`materialization_incremental_snowflake`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`1BHSIUTHJCJOD63VLNAKLJG8AH`,`1`,`I`,`materialization_incremental_snowflake`,`macro`,`macro.dbt_snowflake.materialization_incremental_snowflake`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\materializations\\incremental.sql`,`macros\\materializations\\incremental.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5052454`
`15KM3FNI9FCGPGTFEG4DNGMF33`,`snowflake__get_merge_sql`,`Macro`,`2023-08-01-17-23-18`,`2023-08-01-17-23-18`,`99991231000000`,`15KM3FNI9FCGPGTFEG4DNGMF33`,`1`,`I`,`snowflake__get_merge_sql`,`macro`,`macro.dbt_snowflake.snowflake__get_merge_sql`,`dbt_snowflake`,`C:\\Users\\LENOVO\\Desktop\\coalesce\\building-dbt-coalasce\\dbt-output\\env-dbt\\lib\\site-packages\\dbt\\include\\snowflake`,`macros\\materializations\\merge.sql`,`macros\\materializations\\merge.sql`,``,`"{}"`,`"{"show":true}"`,``,`1688629732.5052454`
