SRC_Entity_ID;SRC_Entity_HashKey;SRC_Entity_Type;TGT_Enity_ID;TGT_Entity_Type;TGT_Entity_HASKEY;Entity_Relationship_Type;CreateTimeStamp;EFFDT;TERMDT;HashKey;Version;Status
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~28~amount;3RVOCMQ2NJC6MJAM47GIMMDKQ2;Column;Snowflake~DEFAULT~DEFAULT~RS-2~31~*;Column;3ALPATRST0K36PBGG58Q9RTE3R;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;7VS81D756FI1PABQHUD4D7VVCO;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~FCT_ORDERS~32~*;PO7N774GOJPB2J84Q6EC5U8ER;Column;Snowflake~DEFAULT~DEFAULT~RS-2~31~*;Column;3ALPATRST0K36PBGG58Q9RTE3R;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;18EI53IMS6R1GGNJQ752PA5C7L;1;I
Snowflake~DEFAULT~DEFAULT~RS-2~31~*;3ALPATRST0K36PBGG58Q9RTE3R;Column;Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33~*;Column;35SNICA0NCUKQ9RTFO6RBMVHRL;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;C94LA8AIM0QS5SG4J3V6FLV4D;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_0~CUSTOMER_ID;40DMG0K1Q3D358M7U2AM3H8DJC;Column;Snowflake~DEFAULT~DEFAULT~RS-3~36~customer_id;Column;3UAM8OMQSRDT9F1G1KT3RP2E32;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;1SLBBLB2PTQG0S71R1EVO94TJJ;1;I
Snowflake~DEFAULT~DEFAULT~MIN~40~min;6ABAHPM0K7VDSM9EP3EQILL2NS;Column;Snowflake~DEFAULT~DEFAULT~RS-3~37~first_order_date;Column;1439MER1T46D8PMIFV1BEL5QRT;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;4S6A0LON8GLPGIGKLEM0R6NEN9;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_1~ORDER_DATE;3J6QBS1N2TA4EDLPTG59PKNFAN;Column;Snowflake~DEFAULT~DEFAULT~MIN~40~min;Column;6ABAHPM0K7VDSM9EP3EQILL2NS;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;77EMU629R9DKPOFTCNQ9JUEAEQ;1;I
Snowflake~DEFAULT~DEFAULT~MAX~44~max;441P303RPQLS85CL2071UQPNVC;Column;Snowflake~DEFAULT~DEFAULT~RS-3~41~most_recent_order_date;Column;2II6SU5CJV250O7N2ABSAN5COL;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;27CR4DMGU47E7PVFI1ENDVAMKL;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_1~ORDER_DATE;3J6QBS1N2TA4EDLPTG59PKNFAN;Column;Snowflake~DEFAULT~DEFAULT~MAX~44~max;Column;441P303RPQLS85CL2071UQPNVC;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;3QF6PKV1BOOLBJVFT3SFE30OAR;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16_0~CUSTOMER_ID;26KUS9EUU1MO25T2VDPMJ7TMHO;Column;Snowflake~DEFAULT~DEFAULT~RS-4~60~customer_id;Column;581QCL109IFN4KCQ9OH7P323B5;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;6I079ELJORGSKGG9404I57O86P;1;I
Snowflake~DEFAULT~DEFAULT~CTE-CUSTOMERS-1~16_1~FIRST_NAME;PE9QB9K47GFSFBPNTLN35ODHI;Column;Snowflake~DEFAULT~DEFAULT~RS-4~61~first_name;Column;2QSRGB8VUJ8GND57UDBI6IAEU8;Column_CONNECT_TO_Column;20230801172336;20230801172336;99991231000000;3SS1O20APCENA3HUR5AV4N7CJS;1;I
