Entity_ID;Entity_Name;Entity_Type;Entity_Parent_Name;Entity_Parent_Type;Label;CreateTimeStamp;EFFDT;TERMDT;HashKey;Version;Status
Snowflake~DEFAULT~DEFAULT~RS-2~31_0~CUSTOMER_ID;CUSTOMER_ID;Column;RS-2;Select_list;Column;20230801172336;20230801172336;99991231000000;6O7HU25H2DPOO9QHPQ29MKTRJI;1;I
Snowflake~DEFAULT~DEFAULT~RS-2~31_1~ORDER_DATE;ORDER_DATE;Column;RS-2;Select_list;Column;20230801172336;20230801172336;99991231000000;2EDQKDOISGUPV0M70GSBB5NN8D;1;I
Snowflake~DEFAULT~DEFAULT~RS-2~31_2~ORDER_ID;ORDER_ID;Column;RS-2;Select_list;Column;20230801172336;20230801172336;99991231000000;1H180C02MFV0D5HQL2PMHRTU6C;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~36~customer_id;customer_id;Column;RS-3;Select_list;Column;20230801172336;20230801172336;99991231000000;3UAM8OMQSRDT9F1G1KT3RP2E32;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~37~first_order_date;first_order_date;Column;RS-3;Select_list;Column;20230801172336;20230801172336;99991231000000;1439MER1T46D8PMIFV1BEL5QRT;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~49~lifetime_value;lifetime_value;Column;RS-3;Select_list;Column;20230801172336;20230801172336;99991231000000;5H9P60FHL939QHFHPVFS18737Q;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~41~most_recent_order_date;most_recent_order_date;Column;RS-3;Select_list;Column;20230801172336;20230801172336;99991231000000;2II6SU5CJV250O7N2ABSAN5COL;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~45~number_of_orders;number_of_orders;Column;RS-3;Select_list;Column;20230801172336;20230801172336;99991231000000;2OIMPDT2DRK6IFLHHJ7V1BQ7MC;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~58~RelationRows;RelationRows;Column;RS-4;Select_list;Column;20230801172336;20230801172336;99991231000000;2Q21FA342TSSSK7M0A4H7HMRCE;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~60~customer_id;customer_id;Column;RS-4;Select_list;Column;20230801172336;20230801172336;99991231000000;581QCL109IFN4KCQ9OH7P323B5;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~61~first_name;first_name;Column;RS-4;Select_list;Column;20230801172336;20230801172336;99991231000000;2QSRGB8VUJ8GND57UDBI6IAEU8;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~63~first_order_date;first_order_date;Column;RS-4;Select_list;Column;20230801172336;20230801172336;99991231000000;5ILJKO7CQG5VS9A8H5UOH3B9BO;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~62~last_name;last_name;Column;RS-4;Select_list;Column;20230801172336;20230801172336;99991231000000;1TM0OVFGCD0UMO55G21UBO6C5;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~65~lifetime_value;lifetime_value;Column;RS-4;Select_list;Column;20230801172336;20230801172336;99991231000000;46DNQ90HA6RA9650E1US872SQE;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~64~most_recent_order_date;most_recent_order_date;Column;RS-4;Select_list;Column;20230801172336;20230801172336;99991231000000;3S3PO94PE191K4H3N0D0HF7H9G;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~66~number_of_orders;number_of_orders;Column;RS-4;Select_list;Column;20230801172336;20230801172336;99991231000000;543LVS9P6P1ORC2JVGNBS1P54A;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~78~RelationRows;RelationRows;Column;RS-5;Select_list;Column;20230801172336;20230801172336;99991231000000;1A1I4F8I95HTR3M1CS9CJR60FB;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~80~customer_id;customer_id;Column;RS-5;Select_list;Column;20230801172336;20230801172336;99991231000000;10TC2NV91QQ2VGBHQARTFFE8NP;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~81~first_name;first_name;Column;RS-5;Select_list;Column;20230801172336;20230801172336;99991231000000;U21N54MCJ3Q0E270OV40L3H1O;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~83~first_order_date;first_order_date;Column;RS-5;Select_list;Column;20230801172336;20230801172336;99991231000000;2712ST54ECCNHSRHVTSUA97F6B;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~82~last_name;last_name;Column;RS-5;Select_list;Column;20230801172336;20230801172336;99991231000000;88TQNLS1939HKOCDPJNN89PNG;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~85~lifetime_value;lifetime_value;Column;RS-5;Select_list;Column;20230801172336;20230801172336;99991231000000;3F07LTBEBL0IOHDHCEL631LSQA;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~84~most_recent_order_date;most_recent_order_date;Column;RS-5;Select_list;Column;20230801172336;20230801172336;99991231000000;5POASV3MA0TV0SGPID6IPNNRTC;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~86~number_of_orders;number_of_orders;Column;RS-5;Select_list;Column;20230801172336;20230801172336;99991231000000;4P1UD5LSPVTG06CMO9JL2OTU8J;1;I
Snowflake~DEFAULT~DEFAULT~COALESCE~69~coalesce;coalesce;Column;coalesce;Function;Column;20230801172336;20230801172336;99991231000000;7IDEHCLFPLPNFR4SAPJOFPB2LA;1;I
Snowflake~DEFAULT~DEFAULT~COUNT~48~count;count;Column;count;Function;Column;20230801172336;20230801172336;99991231000000;5VNLUVCR38TGD9DK3DMFIRJMK7;1;I
Snowflake~DEFAULT~DEFAULT~MAX~44~max;max;Column;max;Function;Column;20230801172336;20230801172336;99991231000000;441P303RPQLS85CL2071UQPNVC;1;I
Snowflake~DEFAULT~DEFAULT~MIN~40~min;min;Column;min;Function;Column;20230801172336;20230801172336;99991231000000;6ABAHPM0K7VDSM9EP3EQILL2NS;1;I
Snowflake~DEFAULT~DEFAULT~SUM~52~sum;sum;Column;sum;Function;Column;20230801172336;20230801172336;99991231000000;3IK3CE6RAKRGVP9LSKN8B2HC8M;1;I
Snowflake~ANALYTICS;analytics;Database;5.16.10;DBT_Project;Database;20230801172340;20230801172340;99991231000000;M1DQ9IN95AN7LIVS5AQJRVSC8;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI;DBT_GGITHIRI;Schema;ANALYTICS;Database;Schema;20230801172340;20230801172340;99991231000000;6OJ1RV0RECF7TMUI7K8HU8UG0K;1;I
Snowflake~ANALYTICS~DBT_GGITHIRI~STG_ORDERS;stg_orders;Table;DBT_GGITHIRI;Schema;Table;20230801172340;20230801172340;99991231000000;4MRQBC9S5G1PATILTVJTKIN639;1;I
