Entity_ID;HashKey;EntityHashKey;Attribute;Value;CreateTimeStamp;EFFDT;TERMDT;Version;Status
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~71~customer_id;I9GIKQRBDHSMT3QPL3TF7VMKP;1OTR7NMBE4USFHP1JMG7AQDOU6;coordinate;[{"hashCode":"0","x":22,"y":9},{"hashCode":"0","x":22,"y":30}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~72~first_name;1VG01KGV0AHBCB9BU9BP3932KS;5PF0VMAMKH73FLF9L8SSK8QHFM;coordinate;[{"hashCode":"0","x":23,"y":9},{"hashCode":"0","x":23,"y":29}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~74~first_order_date;689M58QV9E411044JVM8BD61KS;7UHQBOFEDVSE89RG5H66OGN4C;coordinate;[{"hashCode":"0","x":25,"y":9},{"hashCode":"0","x":25,"y":41}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~73~last_name;1IUFLCCQS443CDF5PJB82NH2OP;F7LHFQOOF91HACITR4H7KD4D4;coordinate;[{"hashCode":"0","x":24,"y":9},{"hashCode":"0","x":24,"y":28}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~76~lifetime_value;7U69G5H4N3KJUTPQAH399BDCPQ;2II30F6FNPT3BTI3M2V6TR1VB;coordinate;[{"hashCode":"0","x":27,"y":9},{"hashCode":"0","x":27,"y":39}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~75~most_recent_order_date;3G0PURBDU2NGUC5SJKL4655UHA;1Q2S7C7PLUN13TL0255ODGRG50;coordinate;[{"hashCode":"0","x":26,"y":9},{"hashCode":"0","x":26,"y":47}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~77~number_of_orders;60E6LENSR8UJVIQBFAQ2P48M0T;3GG7AUV5JIQ7HEKNQ8BH6GK5NV;coordinate;[{"hashCode":"0","x":28,"y":9},{"hashCode":"0","x":28,"y":74}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33~*;28P2UP4NOMNRAHKP0ADP0I1FJH;35SNICA0NCUKQ9RTFO6RBMVHRL;coordinate;[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_3~AMOUNT;624V3QS1KVA2KL9P2ILMNINFP0;13OTF7VUT2CB0V0C89A0U92AMT;coordinate;[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~33_0~CUSTOMER_ID;79SK0V79HPTUITPGU44SH1L1MG;40DMG0K1Q3D358M7U2AM3H8DJC;coordinate;[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}];20230801172336;20230801172336;99991231000000;1;I
