:START_ID,:END_ID,:TYPE,CreateTimeStamp,EFFDT,TERMDT,Version,Status
29DUOSU1TLLFKGOP1FIP7SUO3F,458V71UMR5MV0U8JI87U25H0OA,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6JFC2FOECLOK541THTSG9T5JGR,4F47ICV2A920U4DOA60ACGMDFM,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6JFC2FOECLOK541THTSG9T5JGR,6MTI0794H57JG5JE3U34LID9CJ,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6JFC2FOECLOK541THTSG9T5JGR,458V71UMR5MV0U8JI87U25H0OA,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
4INDJ0QBEFHO6TPVFNN8LOP2DV,7UKO86Q0DGFG6Q58C0UO313V18,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
4INDJ0QBEFHO6TPVFNN8LOP2DV,4F47ICV2A920U4DOA60ACGMDFM,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
4INDJ0QBEFHO6TPVFNN8LOP2DV,6MTI0794H57JG5JE3U34LID9CJ,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
4INDJ0QBEFHO6TPVFNN8LOP2DV,458V71UMR5MV0U8JI87U25H0OA,depends_on_macro,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
C0MJK8NVJRKEO6S412KHOAFR4,6RTVMKJH6F191I15E6J5ARVUOF,contains,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
6RTVMKJH6F191I15E6J5ARVUOF,36K9CE52LQ5G42THF8UOHBQNH,contains_analysis,2023-08-01-17-23-17,2023-08-01-17-23-17,99991231000000,1,I
